date,name,value
2024-01-01,Alpha,5
2024-01-02,Alpha,6
2024-01-03,Alpha,8
2024-01-04,Alpha,7
2024-01-05,Alpha,9
2024-01-06,Alpha,10
2024-01-07,Alpha,11
2024-01-08,Alpha,12
2024-01-09,Alpha,14
2024-01-10,Alpha,13
2024-01-11,Alpha,15
2024-01-12,Alpha,16
2024-01-13,Alpha,17
2024-01-14,Alpha,19
2024-01-15,Alpha,18
2024-01-16,Alpha,20
2024-01-17,Alpha,21
2024-01-18,Alpha,23
2024-01-19,Alpha,22
2024-01-20,Alpha,24
2024-01-21,Alpha,25
2024-01-22,Alpha,26
2024-01-23,Alpha,28
2024-01-24,Alpha,27
2024-01-25,Alpha,29
2024-01-26,Alpha,30
2024-01-27,Alpha,32
2024-01-28,Alpha,31
2024-01-29,Alpha,33
2024-01-30,Alpha,34
2024-01-01,Beta,12
2024-01-02,Beta,13
2024-01-03,Beta,15
2024-01-04,Beta,14
2024-01-05,Beta,16
2024-01-06,Beta,17
2024-01-07,Beta,18
2024-01-08,Beta,20
2024-01-09,Beta,19
2024-01-10,Beta,21
2024-01-11,Beta,22
2024-01-12,Beta,24
2024-01-13,Beta,23
2024-01-14,Beta,25
2024-01-15,Beta,26
2024-01-16,Beta,28
2024-01-17,Beta,27
2024-01-18,Beta,29
2024-01-19,Beta,30
2024-01-20,Beta,32
2024-01-21,Beta,31
2024-01-22,Beta,33
2024-01-23,Beta,34
2024-01-24,Beta,36
2024-01-25,Beta,35
2024-01-26,Beta,37
2024-01-27,Beta,38
2024-01-28,Beta,40
2024-01-29,Beta,39
2024-01-30,Beta,41
2024-01-01,Gamma,9
2024-01-02,Gamma,10
2024-01-03,Gamma,12
2024-01-04,Gamma,11
2024-01-05,Gamma,13
2024-01-06,Gamma,14
2024-01-07,Gamma,15
2024-01-08,Gamma,16
2024-01-09,Gamma,18
2024-01-10,Gamma,17
2024-01-11,Gamma,19
2024-01-12,Gamma,20
2024-01-13,Gamma,22
2024-01-14,Gamma,21
2024-01-15,Gamma,23
2024-01-16,Gamma,24
2024-01-17,Gamma,26
2024-01-18,Gamma,25
2024-01-19,Gamma,27
2024-01-20,Gamma,28
2024-01-21,Gamma,30
2024-01-22,Gamma,29
2024-01-23,Gamma,31
2024-01-24,Gamma,32
2024-01-25,Gamma,34
2024-01-26,Gamma,33
2024-01-27,Gamma,35
2024-01-28,Gamma,36
2024-01-29,Gamma,38
2024-01-30,Gamma,37
